bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,2,1000,7024485,18717,74817,184.0,0.0,187.0
don-quixote,404461,2,10000,7024485,187026,722227,200.0,8.0,209.0
don-quixote,404461,2,100000,7024485,870282,3420188,324.0,4.0,337.0
don-quixote,404461,2,500000,7024485,8596077,34027989,1492.0,8.0,1540.0
don-quixote,404461,3,1000,7024519,18707,3489,196.0,8.0,207.0
don-quixote,404461,3,10000,7024519,187033,34231,208.0,0.0,213.0
don-quixote,404461,3,100000,7024519,1870265,332958,312.0,0.0,322.0
don-quixote,404461,3,500000,7024519,54210,8727,208.0,12.0,222.0
don-quixote,404461,4,1000,7024518,18692,1216,212.0,4.0,217.0
don-quixote,404461,4,10000,7024518,187085,12576,208.0,4.0,215.0
don-quixote,404461,4,100000,7024518,1870491,128213,312.0,0.0,322.0
don-quixote,404461,4,500000,7024518,6469179,445168,600.0,4.0,621.0
don-quixote,404461,5,1000,7024519,18679,1041,244.0,4.0,253.0
don-quixote,404461,5,10000,7024519,186991,10553,228.0,0.0,231.0
don-quixote,404461,5,100000,7024519,1870141,105607,324.0,8.0,343.0
don-quixote,404461,5,500000,7024519,9351735,527122,816.0,20.0,870.0
don-quixote,404461,6,1000,7024520,18698,1003,196.0,4.0,203.0
don-quixote,404461,6,10000,7024520,187066,10100,196.0,12.0,212.0
don-quixote,404461,6,100000,7024520,1870280,101394,328.0,0.0,337.0
don-quixote,404461,6,500000,7024520,6152027,333672,596.0,8.0,631.0
don-quixote,404461,7,1000,7024521,18698,1002,196.0,0.0,199.0
don-quixote,404461,7,10000,7024521,187099,10034,204.0,0.0,209.0
don-quixote,404461,7,100000,7024521,1870616,100660,328.0,8.0,349.0
don-quixote,404461,7,500000,7024521,3525371,189681,480.0,0.0,496.0
madame-bovary,112972,2,1000,1796267,16852,12294,44.0,0.0,49.0
madame-bovary,112972,2,10000,1796267,168584,123788,100.0,0.0,103.0
madame-bovary,112972,2,100000,1796267,1686253,1234559,144.0,4.0,157.0
madame-bovary,112972,2,500000,1796267,2594792,1918680,204.0,4.0,220.0
madame-bovary,112972,3,1000,1796277,16893,1243,56.0,0.0,59.0
madame-bovary,112972,3,10000,1796277,168628,12888,56.0,4.0,63.0
madame-bovary,112972,3,100000,1796277,267451,22012,60.0,0.0,64.0
madame-bovary,112972,3,500000,1796277,267451,22012,64.0,0.0,69.0
madame-bovary,112972,4,1000,1796279,16855,1041,52.0,0.0,55.0
madame-bovary,112972,4,10000,1796279,168589,10284,52.0,4.0,60.0
madame-bovary,112972,4,100000,1796279,1661331,102857,132.0,0.0,142.0
madame-bovary,112972,4,500000,1796279,1661331,102857,176.0,12.0,201.0
madame-bovary,112972,5,1000,1796279,16856,1001,52.0,0.0,57.0
madame-bovary,112972,5,10000,1796279,168678,10048,56.0,0.0,60.0
madame-bovary,112972,5,100000,1796279,1686498,100386,136.0,4.0,148.0
madame-bovary,112972,5,500000,1796279,2133241,127145,164.0,4.0,179.0
madame-bovary,112972,6,1000,1796279,16856,1000,52.0,0.0,55.0
madame-bovary,112972,6,10000,1796279,168664,10006,64.0,0.0,68.0
madame-bovary,112972,6,100000,1796279,1686314,100096,148.0,0.0,157.0
madame-bovary,112972,6,500000,1796279,5147301,305719,336.0,0.0,354.0
madame-bovary,112972,7,1000,1796279,16856,1000,48.0,0.0,51.0
madame-bovary,112972,7,10000,1796279,168693,10000,56.0,0.0,60.0
madame-bovary,112972,7,100000,1796279,934277,55425,104.0,0.0,111.0
madame-bovary,112972,7,500000,1796279,934277,55425,144.0,8.0,158.0
zadig,26046,2,1000,349642,14717,4414,16.0,0.0,18.0
zadig,26046,2,10000,349642,102138,27067,12.0,0.0,17.0
zadig,26046,2,100000,349642,519156,142126,32.0,0.0,36.0
zadig,26046,2,500000,349642,519156,142126,36.0,0.0,40.0
zadig,26046,3,1000,349639,14744,1079,12.0,0.0,15.0
zadig,26046,3,10000,349639,90890,6767,12.0,0.0,16.0
zadig,26046,3,100000,349639,90890,6767,16.0,0.0,18.0
zadig,26046,3,500000,349639,90890,6767,8.0,4.0,16.0
zadig,26046,4,1000,349638,14727,1006,8.0,0.0,12.0
zadig,26046,4,10000,349638,109935,7575,16.0,0.0,19.0
zadig,26046,4,100000,349638,109935,7575,16.0,0.0,19.0
zadig,26046,4,500000,349638,109935,7575,16.0,0.0,17.0
zadig,26046,5,1000,349638,14719,1001,8.0,4.0,14.0
zadig,26046,5,10000,349638,147403,10032,20.0,0.0,21.0
zadig,26046,5,100000,349638,433993,29591,32.0,0.0,37.0
zadig,26046,5,500000,349638,433993,29591,32.0,0.0,35.0
zadig,26046,6,1000,349638,14735,1000,12.0,0.0,14.0
zadig,26046,6,10000,349638,84253,5719,16.0,0.0,19.0
zadig,26046,6,100000,349638,84253,5719,12.0,0.0,16.0
zadig,26046,6,500000,349638,84253,5719,16.0,0.0,19.0
zadig,26046,7,1000,349638,14735,1000,8.0,0.0,13.0
zadig,26046,7,10000,349638,147464,10006,20.0,0.0,22.0
zadig,26046,7,100000,349638,377238,25606,28.0,0.0,33.0
zadig,26046,7,500000,349638,91016,6176,16.0,0.0,19.0
