bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,2,1000,7024485,18715,65859,308.0,0.0,313.0
don-quixote,404461,2,10000,7024485,187148,769038,344.0,8.0,355.0
don-quixote,404461,2,100000,7024485,1871167,7299332,764.0,0.0,774.0
don-quixote,404461,2,500000,7024485,1899846,7370222,744.0,8.0,760.0
don-quixote,404461,3,1000,7024519,18693,2897,328.0,4.0,334.0
don-quixote,404461,3,10000,7024519,186967,35240,336.0,8.0,347.0
don-quixote,404461,3,100000,7024519,1870267,333299,520.0,8.0,538.0
don-quixote,404461,3,500000,7024519,9351430,1676311,1240.0,0.0,1277.0
don-quixote,404461,4,1000,7024518,18706,1539,324.0,4.0,331.0
don-quixote,404461,4,10000,7024518,187023,13352,344.0,0.0,346.0
don-quixote,404461,4,100000,7024518,1870392,128677,508.0,4.0,522.0
don-quixote,404461,4,500000,7024518,1787912,123210,504.0,0.0,513.0
don-quixote,404461,5,1000,7024519,18716,1045,324.0,0.0,328.0
don-quixote,404461,5,10000,7024519,187023,10693,352.0,0.0,354.0
don-quixote,404461,5,100000,7024519,1870501,105790,508.0,8.0,526.0
don-quixote,404461,5,500000,7024519,4545223,256659,780.0,12.0,803.0
don-quixote,404461,6,1000,7024520,18698,1003,328.0,4.0,335.0
don-quixote,404461,6,10000,7024520,187053,10120,348.0,0.0,354.0
don-quixote,404461,6,100000,7024520,1870275,101421,528.0,0.0,538.0
don-quixote,404461,6,500000,7024520,2021765,109422,544.0,4.0,554.0
don-quixote,404461,7,1000,7024521,18695,1003,336.0,4.0,341.0
don-quixote,404461,7,10000,7024521,186999,10122,364.0,8.0,376.0
don-quixote,404461,7,100000,7024521,1870335,100926,532.0,8.0,545.0
don-quixote,404461,7,500000,7024521,9351987,503574,1392.0,8.0,1424.0
madame-bovary,112972,2,1000,1796267,16859,9417,80.0,0.0,81.0
madame-bovary,112972,2,10000,1796267,168601,118368,100.0,0.0,103.0
madame-bovary,112972,2,100000,1796267,1686318,1243771,244.0,0.0,251.0
madame-bovary,112972,2,500000,1796267,4287434,3140848,484.0,4.0,500.0
madame-bovary,112972,3,1000,1796277,16860,1313,84.0,0.0,86.0
madame-bovary,112972,3,10000,1796277,168637,12985,96.0,0.0,101.0
madame-bovary,112972,3,100000,1796277,1686369,129538,216.0,4.0,233.0
madame-bovary,112972,3,500000,1796277,4241528,325414,408.0,4.0,434.0
madame-bovary,112972,4,1000,1796279,16859,1020,108.0,0.0,110.0
madame-bovary,112972,4,10000,1796279,63162,4438,84.0,4.0,91.0
madame-bovary,112972,4,100000,1796279,799360,49436,152.0,0.0,157.0
madame-bovary,112972,4,500000,1796279,1168165,73020,180.0,0.0,188.0
madame-bovary,112972,5,1000,1796279,16857,1001,88.0,0.0,92.0
madame-bovary,112972,5,10000,1796279,168658,10035,116.0,0.0,120.0
madame-bovary,112972,5,100000,1796279,1686426,100486,236.0,0.0,247.0
madame-bovary,112972,5,500000,1796279,658809,39464,156.0,4.0,167.0
madame-bovary,112972,6,1000,1796279,16856,1000,80.0,0.0,83.0
madame-bovary,112972,6,10000,1796279,168682,10011,100.0,0.0,104.0
madame-bovary,112972,6,100000,1796279,1686228,100105,248.0,0.0,255.0
madame-bovary,112972,6,500000,1796279,5137121,304987,624.0,8.0,659.0
