bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,2,1000,7024485,18740,69762,192.0,8.0,225.0
don-quixote,404461,2,10000,7024485,187219,743570,220.0,12.0,236.0
don-quixote,404461,2,100000,7024485,1871587,7224298,464.0,8.0,482.0
don-quixote,404461,2,500000,7024485,9356248,36941175,1556.0,12.0,1611.0
don-quixote,404461,3,1000,7024519,18700,3317,188.0,8.0,198.0
don-quixote,404461,3,10000,7024519,187080,32662,204.0,0.0,208.0
don-quixote,404461,3,100000,7024519,1870219,328034,324.0,4.0,339.0
don-quixote,404461,3,500000,7024519,1996502,357188,316.0,0.0,328.0
don-quixote,404461,4,1000,7024518,18712,1216,188.0,4.0,196.0
don-quixote,404461,4,10000,7024518,187018,13179,216.0,4.0,224.0
don-quixote,404461,4,100000,7024518,1870125,127357,312.0,0.0,321.0
don-quixote,404461,4,500000,7024518,9352420,647394,756.0,0.0,788.0
don-quixote,404461,5,1000,7024519,18688,1044,192.0,4.0,197.0
don-quixote,404461,5,10000,7024519,186943,10823,204.0,4.0,211.0
don-quixote,404461,5,100000,7024519,1870227,105692,320.0,0.0,329.0
don-quixote,404461,5,500000,7024519,2240629,125788,332.0,0.0,341.0
don-quixote,404461,6,1000,7024520,18698,1003,248.0,4.0,255.0
don-quixote,404461,6,10000,7024520,187125,10203,204.0,0.0,207.0
don-quixote,404461,6,100000,7024520,1870464,101243,320.0,8.0,337.0
don-quixote,404461,6,500000,7024520,3996857,216628,444.0,4.0,467.0
don-quixote,404461,7,1000,7024521,18698,1002,200.0,4.0,207.0
don-quixote,404461,7,10000,7024521,187098,10107,208.0,0.0,211.0
don-quixote,404461,7,100000,7024521,1220075,65921,268.0,12.0,290.0
don-quixote,404461,7,500000,7024521,774141,41704,256.0,4.0,268.0
madame-bovary,112972,2,1000,1796267,16856,12342,52.0,0.0,83.0
madame-bovary,112972,2,10000,1796267,168660,123383,112.0,4.0,120.0
madame-bovary,112972,2,100000,1796267,339639,238345,80.0,0.0,83.0
madame-bovary,112972,2,500000,1796267,322875,232179,80.0,0.0,85.0
madame-bovary,112972,3,1000,1796277,16864,1253,52.0,0.0,56.0
madame-bovary,112972,3,10000,1796277,168616,13110,64.0,0.0,66.0
madame-bovary,112972,3,100000,1796277,590083,46452,80.0,0.0,83.0
madame-bovary,112972,3,500000,1796277,652392,50260,80.0,0.0,85.0
madame-bovary,112972,4,1000,1796279,16885,1033,52.0,0.0,53.0
madame-bovary,112972,4,10000,1796279,168638,10309,64.0,0.0,68.0
madame-bovary,112972,4,100000,1796279,1686441,103368,136.0,4.0,152.0
madame-bovary,112972,4,500000,1796279,1556569,96077,128.0,0.0,135.0
madame-bovary,112972,5,1000,1796279,16857,1001,52.0,0.0,55.0
madame-bovary,112972,5,10000,1796279,168619,10042,56.0,4.0,63.0
madame-bovary,112972,5,100000,1796279,674068,40975,84.0,0.0,92.0
madame-bovary,112972,5,500000,1796279,1193017,71272,112.0,0.0,118.0
madame-bovary,112972,6,1000,1796279,16856,1000,48.0,0.0,52.0
madame-bovary,112972,6,10000,1796279,168674,10025,56.0,4.0,62.0
madame-bovary,112972,6,100000,1796279,1686290,100092,176.0,8.0,197.0
madame-bovary,112972,6,500000,1796279,172649,10270,64.0,0.0,69.0
madame-bovary,112972,7,1000,1796279,16856,1000,48.0,4.0,53.0
madame-bovary,112972,7,10000,1796279,168693,10000,108.0,0.0,111.0
madame-bovary,112972,7,100000,1796279,1218038,72278,164.0,0.0,177.0
madame-bovary,112972,7,500000,1796279,827288,49098,100.0,0.0,108.0
zadig,26046,2,1000,349642,14750,3625,24.0,0.0,51.0
zadig,26046,2,10000,349642,16396,4915,28.0,0.0,32.0
zadig,26046,2,100000,349642,11453,2601,8.0,4.0,13.0
zadig,26046,2,500000,349642,366,70,12.0,0.0,13.0
zadig,26046,3,1000,349639,14711,1088,12.0,0.0,13.0
zadig,26046,3,10000,349639,147451,11061,16.0,0.0,19.0
zadig,26046,3,100000,349639,71176,5338,12.0,0.0,16.0
zadig,26046,3,500000,349639,285342,21683,44.0,0.0,49.0
zadig,26046,4,1000,349638,14732,1008,16.0,0.0,18.0
zadig,26046,4,10000,349638,147451,10163,16.0,0.0,21.0
zadig,26046,4,100000,349638,42489,2922,12.0,0.0,15.0
zadig,26046,4,500000,349638,481919,33175,32.0,0.0,36.0
zadig,26046,5,1000,349638,14719,1001,8.0,0.0,12.0
zadig,26046,5,10000,349638,39583,2695,12.0,0.0,17.0
zadig,26046,5,100000,349638,296094,20165,24.0,0.0,30.0
zadig,26046,5,500000,349638,112040,7625,12.0,4.0,19.0
zadig,26046,6,1000,349638,14735,1000,12.0,4.0,18.0
zadig,26046,6,10000,349638,84253,5719,16.0,0.0,17.0
zadig,26046,6,100000,349638,287667,19545,60.0,0.0,66.0
zadig,26046,6,500000,349638,91031,6180,12.0,0.0,16.0
zadig,26046,7,1000,349638,14735,1000,8.0,0.0,12.0
zadig,26046,7,10000,349638,147460,10008,16.0,0.0,20.0
zadig,26046,7,100000,349638,91016,6176,32.0,0.0,35.0
zadig,26046,7,500000,349638,91016,6176,12.0,0.0,16.0
don-quixote,404461,2,1000,7024485,18740,69762,176.0,4.0,182.0
don-quixote,404461,2,10000,7024485,187219,743570,212.0,0.0,217.0
don-quixote,404461,2,100000,7024485,1871587,7224298,452.0,0.0,462.0
don-quixote,404461,2,500000,7024485,2413166,9249819,532.0,0.0,548.0
don-quixote,404461,3,1000,7024519,18700,3317,192.0,0.0,194.0
don-quixote,404461,3,10000,7024519,187080,32662,204.0,0.0,207.0
don-quixote,404461,3,100000,7024519,1870219,328034,300.0,8.0,318.0
don-quixote,404461,3,500000,7024519,1996502,357188,316.0,0.0,327.0
don-quixote,404461,4,1000,7024518,18712,1216,188.0,4.0,196.0
don-quixote,404461,4,10000,7024518,187018,13179,204.0,0.0,208.0
don-quixote,404461,4,100000,7024518,1870350,126190,308.0,0.0,316.0
don-quixote,404461,4,500000,7024518,9352064,644151,764.0,0.0,801.0
don-quixote,404461,5,1000,7024519,18688,1044,192.0,0.0,195.0
don-quixote,404461,5,10000,7024519,186943,10823,200.0,12.0,215.0
don-quixote,404461,5,100000,7024519,1372550,77421,280.0,4.0,293.0
don-quixote,404461,5,500000,7024519,9352459,527872,756.0,16.0,796.0
don-quixote,404461,6,1000,7024520,18698,1003,196.0,0.0,197.0
don-quixote,404461,6,10000,7024520,187125,10203,212.0,0.0,216.0
don-quixote,404461,6,100000,7024520,1870464,101243,312.0,8.0,329.0
don-quixote,404461,6,500000,7024520,5943994,322985,572.0,0.0,593.0
don-quixote,404461,7,1000,7024521,18698,1002,196.0,0.0,198.0
don-quixote,404461,7,10000,7024521,186986,10039,212.0,0.0,216.0
don-quixote,404461,7,100000,7024521,1220075,65921,272.0,0.0,280.0
don-quixote,404461,7,500000,7024521,7201399,388368,664.0,8.0,703.0
madame-bovary,112972,2,1000,1796267,16856,12342,48.0,0.0,51.0
madame-bovary,112972,2,10000,1796267,168660,123383,52.0,4.0,59.0
madame-bovary,112972,2,100000,1796267,339639,238345,68.0,4.0,76.0
madame-bovary,112972,2,500000,1796267,322875,232179,64.0,0.0,69.0
madame-bovary,112972,3,1000,1796277,16864,1253,48.0,0.0,51.0
madame-bovary,112972,3,10000,1796277,168616,13110,56.0,0.0,59.0
madame-bovary,112972,3,100000,1796277,590083,46452,84.0,0.0,87.0
madame-bovary,112972,3,500000,1796277,652392,50260,84.0,0.0,89.0
madame-bovary,112972,4,1000,1796279,16885,1033,48.0,0.0,52.0
madame-bovary,112972,4,10000,1796279,168638,10309,60.0,0.0,63.0
madame-bovary,112972,4,100000,1796279,1686441,103368,132.0,0.0,142.0
madame-bovary,112972,4,500000,1796279,3865142,237712,240.0,8.0,267.0
madame-bovary,112972,5,1000,1796279,16857,1001,48.0,0.0,51.0
madame-bovary,112972,5,10000,1796279,168619,10042,56.0,0.0,59.0
madame-bovary,112972,5,100000,1796279,674068,40975,88.0,0.0,93.0
madame-bovary,112972,5,500000,1796279,1193017,71272,116.0,0.0,121.0
madame-bovary,112972,6,1000,1796279,16856,1000,48.0,0.0,51.0
madame-bovary,112972,6,10000,1796279,168674,10025,56.0,0.0,60.0
madame-bovary,112972,6,100000,1796279,1686290,100092,148.0,0.0,158.0
madame-bovary,112972,6,500000,1796279,172649,10270,56.0,0.0,59.0
madame-bovary,112972,7,1000,1796279,16856,1000,52.0,0.0,55.0
madame-bovary,112972,7,10000,1796279,168693,10000,52.0,4.0,60.0
madame-bovary,112972,7,100000,1796279,1218038,72278,116.0,4.0,125.0
madame-bovary,112972,7,500000,1796279,827288,49098,100.0,0.0,108.0
zadig,26046,2,1000,349642,14750,3625,12.0,4.0,18.0
