bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,2,1000,7024485,18727,66765,484.0,0.0,6766.0
don-quixote,404461,2,10000,7024485,187082,723199,504.0,12.0,929.0
don-quixote,404461,2,100000,7024485,1871157,7220216,1144.0,44.0,2217.0
don-quixote,404461,2,500000,7024485,9356615,36916304,4548.0,120.0,10953.0
don-quixote,404461,3,1000,7024519,18696,3808,544.0,12.0,8809.0
don-quixote,404461,3,10000,7024519,187109,33302,544.0,28.0,1169.0
don-quixote,404461,3,100000,7024519,1870313,335242,720.0,0.0,1487.0
don-quixote,404461,3,500000,7024519,5644178,1003005,1240.0,12.0,3153.0
don-quixote,404461,4,1000,7024518,18692,1262,496.0,20.0,863.0
don-quixote,404461,4,10000,7024518,186977,12714,544.0,24.0,9040.0
don-quixote,404461,4,100000,7024518,1870445,128360,712.0,16.0,1940.0
don-quixote,404461,4,500000,7024518,9352615,640866,1764.0,44.0,6139.0
don-quixote,404461,5,1000,7024519,18699,1036,436.0,4.0,1313.0
don-quixote,404461,5,10000,7024519,187078,10622,460.0,4.0,4518.0
don-quixote,404461,5,100000,7024519,1870154,105890,740.0,20.0,6440.0
don-quixote,404461,5,500000,7024519,9351386,529174,1792.0,60.0,4745.0
don-quixote,404461,6,1000,7024520,18693,1007,428.0,28.0,2238.0
don-quixote,404461,6,10000,7024520,186939,10159,568.0,16.0,5269.0
don-quixote,404461,6,100000,7024520,1870455,101727,728.0,8.0,2577.0
don-quixote,404461,6,500000,7024520,928825,50435,592.0,36.0,4602.0
don-quixote,404461,7,1000,7024521,18694,1003,448.0,8.0,4337.0
don-quixote,404461,7,10000,7024521,186979,10198,452.0,32.0,553.0
don-quixote,404461,7,100000,7024521,1120101,60114,628.0,8.0,916.0
don-quixote,404461,7,500000,7024521,88467,4782,468.0,20.0,4120.0
madame-bovary,112972,2,1000,1796267,16858,11008,124.0,4.0,183.0
madame-bovary,112972,2,10000,1796267,168616,127614,176.0,0.0,194.0
madame-bovary,112972,2,100000,1796267,906670,625783,416.0,20.0,498.0
madame-bovary,112972,2,500000,1796267,1055338,741266,348.0,36.0,513.0
madame-bovary,112972,3,1000,1796277,16875,1294,96.0,12.0,231.0
madame-bovary,112972,3,10000,1796277,168647,12861,132.0,0.0,165.0
madame-bovary,112972,3,100000,1796277,15014,1346,108.0,4.0,155.0
madame-bovary,112972,3,500000,1796277,5299176,411331,708.0,28.0,1016.0
madame-bovary,112972,4,1000,1796279,16868,1026,112.0,8.0,278.0
madame-bovary,112972,4,10000,1796279,168632,10368,128.0,4.0,1552.0
madame-bovary,112972,4,100000,1796279,1439966,89442,316.0,8.0,632.0
madame-bovary,112972,4,500000,1796279,3527799,217937,576.0,8.0,4269.0
madame-bovary,112972,5,1000,1796279,16857,1001,96.0,12.0,145.0
madame-bovary,112972,5,10000,1796279,168634,10047,148.0,12.0,289.0
madame-bovary,112972,5,100000,1796279,767998,45927,208.0,12.0,348.0
madame-bovary,112972,5,500000,1796279,365990,22020,172.0,8.0,930.0
madame-bovary,112972,6,1000,1796279,16856,1000,108.0,4.0,222.0
madame-bovary,112972,6,10000,1796279,168693,10002,132.0,4.0,1377.0
madame-bovary,112972,6,100000,1796279,827587,49312,292.0,12.0,1031.0
madame-bovary,112972,6,500000,1796279,2487353,148050,464.0,20.0,2435.0
madame-bovary,112972,7,1000,1796279,16856,1000,108.0,0.0,408.0
madame-bovary,112972,7,10000,1796279,168693,10000,132.0,0.0,170.0
