bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,2,1000,7024485,18713,52120,268.0,12.0,2893.0
don-quixote,404461,2,10000,7024485,187072,717453,316.0,12.0,523.0
don-quixote,404461,2,100000,7024485,1871271,7237885,788.0,44.0,2380.0
don-quixote,404461,2,500000,7024485,9355793,36725071,2896.0,88.0,5662.0
don-quixote,404461,3,1000,7024519,18720,3604,364.0,0.0,773.0
don-quixote,404461,3,10000,7024519,187037,34562,336.0,12.0,2824.0
don-quixote,404461,3,100000,7024519,169886,31891,340.0,12.0,598.0
don-quixote,404461,3,500000,7024519,3224035,582975,840.0,24.0,6701.0
don-quixote,404461,4,1000,7024518,18694,1581,300.0,24.0,4837.0
don-quixote,404461,4,10000,7024518,187027,12782,316.0,0.0,6047.0
don-quixote,404461,4,100000,7024518,1870551,128536,440.0,28.0,931.0
don-quixote,404461,4,500000,7024518,9352095,645518,1228.0,52.0,4941.0
don-quixote,404461,5,1000,7024519,18697,1085,280.0,32.0,4851.0
don-quixote,404461,5,10000,7024519,187028,10466,284.0,8.0,583.0
don-quixote,404461,5,100000,7024519,1870545,105702,472.0,4.0,5102.0
don-quixote,404461,5,500000,7024519,2088511,117934,612.0,0.0,1730.0
don-quixote,404461,6,1000,7024520,18698,1003,300.0,4.0,583.0
don-quixote,404461,6,10000,7024520,186981,10160,324.0,4.0,5596.0
don-quixote,404461,6,100000,7024520,1870369,101582,484.0,16.0,3210.0
don-quixote,404461,6,500000,7024520,9352705,507739,1408.0,92.0,4893.0
don-quixote,404461,7,1000,7024521,18698,1002,380.0,8.0,5310.0
don-quixote,404461,7,10000,7024521,186987,10019,296.0,16.0,573.0
don-quixote,404461,7,100000,7024521,195733,10600,340.0,12.0,2192.0
don-quixote,404461,7,500000,7024521,9351473,502983,1316.0,52.0,4084.0
madame-bovary,112972,2,1000,1796267,16859,14951,88.0,0.0,216.0
madame-bovary,112972,2,10000,1796267,168659,112081,96.0,8.0,413.0
madame-bovary,112972,2,100000,1796267,833328,555152,152.0,8.0,369.0
madame-bovary,112972,2,500000,1796267,475285,337836,148.0,8.0,4679.0
madame-bovary,112972,3,1000,1796277,16876,1266,76.0,4.0,1114.0
madame-bovary,112972,3,10000,1796277,168667,12863,84.0,0.0,120.0
madame-bovary,112972,3,100000,1796277,1558095,120440,240.0,8.0,2786.0
madame-bovary,112972,3,500000,1796277,3146892,242323,328.0,16.0,2505.0
madame-bovary,112972,4,1000,1796279,16859,1036,72.0,4.0,107.0
madame-bovary,112972,4,10000,1796279,168623,10370,92.0,8.0,1641.0
madame-bovary,112972,4,100000,1796279,416031,26444,124.0,8.0,2089.0
madame-bovary,112972,4,500000,1796279,1698115,104964,208.0,20.0,353.0
madame-bovary,112972,5,1000,1796279,16856,1001,72.0,4.0,110.0
madame-bovary,112972,5,10000,1796279,168616,10059,84.0,0.0,168.0
madame-bovary,112972,5,100000,1796279,1512960,90221,220.0,4.0,502.0
madame-bovary,112972,5,500000,1796279,2717100,162071,304.0,0.0,639.0
madame-bovary,112972,6,1000,1796279,16856,1000,72.0,0.0,233.0
madame-bovary,112972,6,10000,1796279,168682,10011,88.0,4.0,313.0
madame-bovary,112972,6,100000,1796279,1021845,60719,156.0,4.0,360.0
madame-bovary,112972,6,500000,1796279,276620,16552,92.0,4.0,420.0
madame-bovary,112972,7,1000,1796279,16856,1000,72.0,0.0,106.0
madame-bovary,112972,7,10000,1796279,168693,10000,88.0,0.0,152.0
madame-bovary,112972,7,100000,1796279,1163283,69074,180.0,12.0,388.0
madame-bovary,112972,7,500000,1796279,1270901,75418,172.0,8.0,212.0
zadig,26046,2,1000,349642,14739,4392,16.0,0.0,2488.0
zadig,26046,2,10000,349642,147419,40985,24.0,4.0,83.0
zadig,26046,2,100000,349642,29746,8706,16.0,4.0,331.0
zadig,26046,2,500000,349642,407250,108576,52.0,0.0,2178.0
zadig,26046,3,1000,349639,14720,1096,20.0,0.0,1073.0
zadig,26046,3,10000,349639,147450,10974,20.0,8.0,92.0
zadig,26046,3,100000,349639,388822,28999,40.0,0.0,3750.0
zadig,26046,3,500000,349639,271805,20471,32.0,0.0,299.0
zadig,26046,4,1000,349638,14744,1013,16.0,0.0,2292.0
zadig,26046,4,10000,349638,147407,10134,24.0,0.0,1874.0
zadig,26046,4,100000,349638,94005,6508,20.0,0.0,1243.0
zadig,26046,4,500000,349638,142022,9826,24.0,0.0,151.0
zadig,26046,5,1000,349638,14735,1001,16.0,4.0,632.0
zadig,26046,5,10000,349638,147358,10059,24.0,0.0,38.0
zadig,26046,5,100000,349638,590925,40231,68.0,0.0,212.0
zadig,26046,5,500000,349638,1064930,72552,88.0,8.0,778.0
zadig,26046,6,1000,349638,14735,1000,16.0,0.0,223.0
zadig,26046,6,10000,349638,84253,5719,20.0,0.0,148.0
zadig,26046,6,100000,349638,524913,35693,52.0,4.0,128.0
zadig,26046,6,500000,349638,399709,27155,44.0,0.0,76.0
zadig,26046,7,1000,349638,14735,1000,8.0,8.0,400.0
zadig,26046,7,10000,349638,91016,6176,24.0,0.0,1241.0
zadig,26046,7,100000,349638,91016,6176,16.0,4.0,53.0
zadig,26046,7,500000,349638,371672,25235,44.0,0.0,457.0
don-quixote,404461,2,1000,7024485,18710,70272,268.0,8.0,311.0
don-quixote,404461,2,10000,7024485,187142,769369,312.0,8.0,397.0
don-quixote,404461,2,100000,7024485,1871502,7267049,824.0,28.0,3493.0
don-quixote,404461,2,500000,7024485,1467251,5778692,724.0,28.0,1794.0
don-quixote,404461,3,1000,7024519,18696,3283,288.0,8.0,360.0
don-quixote,404461,3,10000,7024519,187010,31667,292.0,12.0,376.0
don-quixote,404461,3,100000,7024519,1870288,334002,476.0,28.0,1102.0
don-quixote,404461,3,500000,7024519,6888658,1231895,1204.0,64.0,3888.0
don-quixote,404461,4,1000,7024518,18708,1429,288.0,8.0,1333.0
don-quixote,404461,4,10000,7024518,187040,12609,376.0,8.0,990.0
don-quixote,404461,4,100000,7024518,1870609,127492,532.0,36.0,969.0
don-quixote,404461,4,500000,7024518,9352582,644637,1124.0,88.0,4564.0
don-quixote,404461,5,1000,7024519,18708,1057,284.0,24.0,890.0
don-quixote,404461,5,10000,7024519,187058,10547,316.0,4.0,723.0
don-quixote,404461,5,100000,7024519,1870508,105673,468.0,16.0,1166.0
don-quixote,404461,5,500000,7024519,2718577,153541,544.0,24.0,1805.0
don-quixote,404461,6,1000,7024520,18698,1003,292.0,0.0,707.0
don-quixote,404461,6,10000,7024520,187032,10065,312.0,8.0,1496.0
don-quixote,404461,6,100000,7024520,1870263,101672,484.0,8.0,2398.0
don-quixote,404461,6,500000,7024520,3819838,207280,672.0,16.0,948.0
don-quixote,404461,7,1000,7024521,18694,1003,316.0,12.0,770.0
don-quixote,404461,7,10000,7024521,187000,10051,308.0,8.0,774.0
don-quixote,404461,7,100000,7024521,1870264,100935,584.0,16.0,1532.0
don-quixote,404461,7,500000,7024521,4198432,226515,756.0,40.0,2706.0
madame-bovary,112972,2,1000,1796267,16859,14951,76.0,4.0,212.0
madame-bovary,112972,2,10000,1796267,168584,118596,88.0,4.0,182.0
madame-bovary,112972,2,100000,1796267,833328,555152,156.0,0.0,222.0
madame-bovary,112972,2,500000,1796267,1129263,791249,264.0,8.0,679.0
madame-bovary,112972,3,1000,1796277,16860,1253,76.0,4.0,119.0
madame-bovary,112972,3,10000,1796277,168667,12863,80.0,4.0,118.0
madame-bovary,112972,3,100000,1796277,747332,58598,124.0,8.0,181.0
madame-bovary,112972,3,500000,1796277,1706321,133529,204.0,8.0,510.0
madame-bovary,112972,4,1000,1796279,16859,1036,68.0,4.0,105.0
madame-bovary,112972,4,10000,1796279,168628,10270,92.0,0.0,312.0
madame-bovary,112972,4,100000,1796279,454163,29478,108.0,0.0,158.0
madame-bovary,112972,4,500000,1796279,941695,58488,148.0,0.0,457.0
madame-bovary,112972,5,1000,1796279,16856,1001,76.0,0.0,122.0
madame-bovary,112972,5,10000,1796279,168616,10059,84.0,0.0,100.0
madame-bovary,112972,5,100000,1796279,1512960,90221,192.0,4.0,235.0
madame-bovary,112972,5,500000,1796279,2717100,162071,340.0,4.0,825.0
madame-bovary,112972,6,1000,1796279,16856,1000,72.0,0.0,127.0
madame-bovary,112972,6,10000,1796279,168644,10006,88.0,0.0,107.0
madame-bovary,112972,6,100000,1796279,295408,17901,100.0,0.0,501.0
madame-bovary,112972,6,500000,1796279,2069888,122981,252.0,0.0,301.0
madame-bovary,112972,7,1000,1796279,16856,1000,68.0,8.0,91.0
madame-bovary,112972,7,10000,1796279,168693,10000,88.0,0.0,149.0
madame-bovary,112972,7,100000,1796279,1163283,69074,172.0,0.0,228.0
madame-bovary,112972,7,500000,1796279,1270901,75418,176.0,8.0,282.0
zadig,26046,2,1000,349642,14757,4286,16.0,0.0,57.0
zadig,26046,2,10000,349642,147419,40985,36.0,0.0,194.0
