bookname,n,k,m,count1,count2,count3,user,sys,real
madame-bovary,wc:,3,10000000,1796277,659330,51508,84.0,0.0,89.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,84.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,86.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,84.0,0.0,88.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
