bookname,n,k,m,count1,count2,count3,user,sys,real
zadig,wc:,3,10000000,349639,126512,9516,20.0,0.0,22.0
zadig,wc:,3,10000000,349639,126512,9516,16.0,0.0,17.0
zadig,wc:,3,10000000,349639,126512,9516,12.0,0.0,17.0
zadig,wc:,3,10000000,349639,126512,9516,12.0,0.0,16.0
zadig,wc:,3,10000000,349639,126512,9516,12.0,0.0,17.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,16.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,16.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,17.0
zadig,wc:,3,10000000,349639,113055,8413,16.0,0.0,20.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,16.0
